propertyid,quickrefid,description,area,class,actyrbuilt,effyrbuilt,bedrooms
62725,R000961,Garage,480.000000,R4,1993.000000,1993.000000,
62726,R000979,Main Area,1057.000000,R4,1994.000000,1994.000000,
62727,R000992,Fireplace,1.000000,R4,1993.000000,1993.000000,
62729,R001014,Patio,400.000000,,,,
62730,R001022,Deck,240.000000,,1994.000000,1994.000000,
62731,R001024,Second Floor,232.000000,R4,1994.000000,1999.000000,
62735,R001034,Garage,471.000000,R4,1994.000000,1994.000000,
62735,R001034,Patio,100.000000,,1994.000000,1994.000000,
62736,R001040,Main Area,336.000000,R4,,2002.000000,
62738,R001052,Open Porch,16.000000,R4,1996.000000,1996.000000,
62738,R001052,Open Porch,532.000000,R4,2022.000000,2022.000000,
62740,R001060,Out Bldg,168.000000,,,,
62740,R001060,Open Porch,42.000000,R4,1995.000000,2001.000000,
62742,R001079,Main Area,160.000000,R1,1997.000000,1997.000000,
62745,R001088,Patio,138.000000,,1996.000000,1996.000000,
62747,R001096,Garage,440.000000,R4,1996.000000,2002.000000,
62749,R001129,Patio,162.000000,,1996.000000,1996.000000,
62750,R001139,Main Area,1448.000000,R4,1996.000000,1996.000000,
62750,R001139,Open Porch,35.000000,R4,1996.000000,1996.000000,
62753,R001150,Main Area,180.000000,R4,1996.000000,2003.000000,
62758,R001170,Patio,837.000000,,2013.000000,2013.000000,
62759,R001182,Deck,120.000000,,1996.000000,1996.000000,
62759,R001182,Open Porch,15.000000,R4,1996.000000,2002.000000,
62761,R001193,Open Porch,23.000000,R4,1995.000000,2008.000000,
62763,R001204,Covered Porch,120.000000,EN,1993.000000,1997.000000,
62763,R001204,Covered Porch,1730.000000,EN,1993.000000,1997.000000,
62763,R001204,Fireplace,,,,1997.000000,
62763,R001204,Second Floor,1800.000000,EN,1993.000000,1997.000000,
62764,R001209,Deck,190.000000,,1994.000000,1994.000000,
62764,R001209,Second Floor,902.000000,R4,1994.000000,1994.000000,
62767,R001218,Main Area,1568.000000,R4,1995.000000,2008.000000,
62768,R001219,Garage,483.000000,R4,1994.000000,1994.000000,
63399,R002215,Open Porch,48.000000,R3,2000.000000,2004.000000,
63400,R002216,Deck,105.000000,,2000.000000,2000.000000,
63401,R002217,Main Area,1523.000000,R3,1996.000000,2001.000000,
63402,R002218,Main Area,1635.000000,R3,1996.000000,1996.000000,
63403,R002219,Garage,420.000000,R3,1996.000000,2011.000000,
63403,R002219,Patio,100.000000,,1996.000000,1996.000000,
63407,R002227,Fireplace,1.000000,R3,1996.000000,1996.000000,
63410,R002232,Fireplace,1.000000,R3,1993.000000,2003.000000,
63413,R002235,Fireplace,1.000000,R3,1993.000000,2001.000000,
63413,R002235,Garage,437.000000,R3,1993.000000,2001.000000,
63413,R002235,Main Area,1507.000000,R3,1993.000000,2001.000000,
63414,R002236,Garage,504.000000,R3,1993.000000,1993.000000,
63414,R002236,Main Area,1190.000000,R3,1993.000000,1993.000000,
63417,R002241,Garage,420.000000,R3,1994.000000,1994.000000,
63417,R002241,Open Porch,210.000000,R3,1994.000000,1994.000000,
63418,R002242,Fireplace,1.000000,R3,1994.000000,1994.000000,
63421,R002245,Fireplace,1.000000,R3,1999.000000,1999.000000,
63422,R002246,Fireplace,1.000000,R3,1996.000000,1996.000000,
63424,R002248,Garage,440.000000,R3,1994.000000,1998.000000,
63424,R002248,Open Porch,168.000000,R3,1994.000000,1998.000000,
63425,R002249,Fireplace,1.000000,R3,2000.000000,2000.000000,
63435,R002259,Fireplace,1.000000,R3,1996.000000,1996.000000,
63437,R002261,Canopy,612.000000,,2017.000000,2017.000000,
63442,R002266,Main Area,1193.000000,R2,1996.000000,1996.000000,
63457,R002281,Main Area,1516.000000,R2,1994.000000,1994.000000,
63467,R002291,Fireplace,1.000000,R3,1996.000000,2001.000000,
63467,R002291,Main Area,1961.000000,R3,1996.000000,2001.000000,
63475,R002299,Garage,399.000000,R3,2000.000000,2000.000000,
63486,R002310,Main Area,1504.000000,R2,1993.000000,1999.000000,
63496,R002320,Main Area,1430.000000,R3,1996.000000,1996.000000,
63545,R002369,Patio,107.000000,,2000.000000,2000.000000,
63562,R002386,Fireplace,1.000000,R3,1995.000000,1995.000000,
63617,R002460,Patio,16.000000,,1995.000000,1995.000000,
63618,R002461,Out Bldg,100.000000,,,,
63619,R002462,Out Bldg,144.000000,,,,
63620,R002463,Main Area,1517.000000,R3,1996.000000,1996.000000,
63620,R002463,Open Porch,130.000000,R3,1996.000000,1996.000000,
63621,R002464,Covered Patio,360.000000,,1997.000000,1997.000000,
63621,R002464,Out Bldg,70.000000,,2016.000000,2016.000000,
63623,R002466,Garage,441.000000,R2,1997.000000,1997.000000,
63623,R002466,Open Porch,42.000000,R2,1997.000000,1997.000000,
63625,R002468,Open Porch,360.000000,R3,1993.000000,2000.000000,
63627,R002470,Open Porch,71.000000,R3,1993.000000,1993.000000,
63629,R002472,Patio,100.000000,,1993.000000,1993.000000,
63632,R002476,Main Area,1467.000000,R3,1993.000000,1993.000000,
63633,R002477,Main Area,1268.000000,R2,1985.000000,1985.000000,
63634,R002479,Open Porch,42.000000,R3,1999.000000,2004.000000,
63636,R002481,Main Area,1390.000000,R3,1995.000000,1995.000000,
63637,R002482,Carport,240.000000,,2017.000000,2017.000000,
63637,R002482,Garage,399.000000,R3,1996.000000,2000.000000,
63638,R002483,Enclosed Porch,240.000000,R3,1992.000000,1992.000000,
63638,R002483,Garage,399.000000,R3,1992.000000,1992.000000,
63638,R002483,Open Porch,33.000000,R3,1992.000000,1992.000000,
63642,R002487,Concrete Pool,986.000000,,,,
63642,R002487,Patio,1806.000000,,,,
63643,R002488,Fireplace,1.000000,R3,1995.000000,1999.000000,
63643,R002488,Open Porch,36.000000,R3,1995.000000,1999.000000,
63646,R002493,Garage,460.000000,R3,1992.000000,1999.000000,
63648,R002495,Main Area,1161.000000,R3,1994.000000,2000.000000,
63648,R002495,Second Floor,370.000000,R3,1994.000000,2000.000000,
63651,R002498,Open Porch,24.000000,R3,1995.000000,1995.000000,
63652,R002500,Open Porch,35.000000,R2,1994.000000,1999.000000,
63654,R002502,Patio,81.000000,,1999.000000,1999.000000,
63657,R002505,Fireplace,1.000000,R3,1995.000000,2001.000000,
63658,R002506,Fireplace,1.000000,R3,1999.000000,1999.000000,
63563,R002387,Main Area,813.000000,R3,1996.000000,1996.000000,
63563,R002387,Second Floor,1140.000000,R3,1996.000000,1996.000000,
63563,R002387,Patio,225.000000,,1996.000000,1996.000000,
63564,R002388,Fireplace,1.000000,R2,1994.000000,1999.000000,
63565,R002389,Main Area,1172.000000,R3,1999.000000,1999.000000,
63565,R002389,Second Floor,532.000000,R3,1999.000000,1999.000000,
63568,R002392,Patio,254.000000,,1999.000000,1999.000000,
63569,R002393,Garage,420.000000,R2,1994.000000,1994.000000,
63570,R002394,Patio,80.000000,,2000.000000,2000.000000,
63576,R002400,Covered Patio,100.000000,,1996.000000,1996.000000,
63577,R002401,Garage,380.000000,R3,2000.000000,2000.000000,
63577,R002401,Patio,90.000000,,2000.000000,2000.000000,
63580,R002404,Garage,462.000000,R2,1996.000000,1996.000000,
63584,R002410,Fireplace,1.000000,R3,1995.000000,1995.000000,
63584,R002410,Garage,420.000000,R3,1995.000000,1995.000000,
63589,R002424,Main Area,1011.000000,R2,1995.000000,1995.000000,
63589,R002424,Open Porch,42.000000,R2,1995.000000,1995.000000,
63590,R002425,Open Porch,50.000000,R3,2000.000000,2000.000000,
63591,R002427,Fireplace,1.000000,R3,2000.000000,2000.000000,
63591,R002427,Main Area,1293.000000,R3,2000.000000,2000.000000,
63594,R002430,Fireplace,1.000000,R3,1996.000000,1996.000000,
63594,R002430,Main Area,552.000000,R3,1996.000000,1996.000000,
63595,R002431,Garage,441.000000,R3,1996.000000,1996.000000,
63601,R002439,Garage,492.000000,R2,1993.000000,2008.000000,
63601,R002439,Open Porch,32.000000,R2,1993.000000,2008.000000,
63603,R002441,Garage,330.000000,R2,1995.000000,2006.000000,
63608,R002447,Fireplace,1.000000,R3,1995.000000,1995.000000,
63608,R002447,Open Porch,40.000000,R3,1995.000000,1995.000000,
63609,R002448,Main Area,1153.000000,R2,1996.000000,1996.000000,
63609,R002448,Patio,100.000000,,1996.000000,1996.000000,
63611,R002450,Fireplace,1.000000,R2,1994.000000,1994.000000,
63613,R002452,Main Area,350.000000,R2,2011.000000,1995.000000,
63614,R002453,Fireplace,1.000000,R3,1996.000000,2000.000000,
63658,R002506,Main Area,1226.000000,R3,1999.000000,1999.000000,
63666,R002516,Out Bldg,40.000000,,2017.000000,2017.000000,
63666,R002516,Open Porch,68.000000,R3,1994.000000,1999.000000,
63668,R002519,Fireplace,1.000000,R3,1999.000000,2003.000000,
63668,R002519,Garage,399.000000,R3,1999.000000,2003.000000,
63670,R002521,Open Porch,48.000000,R3,2000.000000,2000.000000,
63671,R002522,Deck,88.000000,,2009.000000,2009.000000,
63671,R002522,Garage,462.000000,R2,1996.000000,2002.000000,
63671,R002522,Patio,24.000000,,2009.000000,2009.000000,
63676,R002530,Patio,98.000000,,1994.000000,1994.000000,
63681,R002538,Fireplace,1.000000,R2,1997.000000,2001.000000,
63682,R002540,Garage,436.000000,R2,1993.000000,1993.000000,
63684,R002543,Main Area,1358.000000,R2,1986.000000,1993.000000,
63684,R002543,Patio,90.000000,,2009.000000,1986.000000,
63686,R002547,Fireplace,1.000000,R3,1999.000000,1999.000000,
63686,R002547,Garage,378.000000,R3,1999.000000,1999.000000,
63687,R002548,Fireplace,1.000000,R3,1993.000000,1993.000000,
63687,R002548,Garage,483.000000,R3,1993.000000,1993.000000,
63687,R002548,Open Porch,414.000000,R3,1993.000000,1993.000000,
63689,R002550,Fireplace,1.000000,R3,2000.000000,2000.000000,
63690,R002551,Out Bldg,192.000000,,2017.000000,2017.000000,
63692,R002553,Open Porch,16.000000,R3,2000.000000,2000.000000,
63695,R002556,Open Porch,18.000000,R3,1994.000000,1994.000000,
63697,R002558,Fireplace,1.000000,R3,1999.000000,1999.000000,
63701,R002562,Main Area,1836.000000,R3,1996.000000,1996.000000,
63703,R002566,Fireplace,1.000000,R3,1999.000000,2010.000000,
63706,R002569,Out Bldg,140.000000,,2023.000000,2023.000000,
63706,R002569,Open Porch,24.000000,R2,1986.000000,2001.000000,
63708,R002574,Open Porch,16.000000,R3,1996.000000,1996.000000,
63709,R002576,Main Area,1268.000000,R2,1986.000000,1986.000000,
63710,R002577,Fireplace,1.000000,R3,1995.000000,1995.000000,
63711,R002581,Second Floor,900.000000,R2,1994.000000,1998.000000,
63714,R002586,Patio,100.000000,,1996.000000,1996.000000,
62671,R000576,Garage,753.000000,R4,1993.000000,1993.000000,
62671,R000576,Main Area,1223.000000,R4,1993.000000,1993.000000,
62672,R000581,Canopy,187.000000,,2023.000000,2023.000000,
62673,R000586,Garage,757.000000,R4,1994.000000,1994.000000,
62676,R000600,Main Area,1795.000000,R4,1994.000000,1994.000000,
62676,R000600,Patio,338.000000,,1994.000000,1994.000000,
62680,R000654,Garage,420.000000,R4,1996.000000,2002.000000,
62683,R000673,Garage,725.000000,R4,1995.000000,1995.000000,
62683,R000673,Patio,431.000000,,1995.000000,1995.000000,
62686,R000691,Patio,80.000000,,1996.000000,1996.000000,
62688,R000693,Open Porch,22.000000,R4,1996.000000,2003.000000,
62695,R000734,Fireplace,1.000000,R4,1993.000000,2000.000000,
62699,R000754,Second Floor,1769.000000,R4,1996.000000,1996.000000,
62700,R000759,Second Floor,1200.000000,R4,1995.000000,1995.000000,
62701,R000762,Main Area,1475.000000,R4,1996.000000,1996.000000,
62702,R000766,Garage,462.000000,R4,1996.000000,1996.000000,
62706,R000811,Open Porch,30.000000,R4,1996.000000,1996.000000,
62709,R000848,Covered Patio,165.000000,,1996.000000,2016.000000,
62709,R000848,Garage,462.000000,R4,1996.000000,2016.000000,
62711,R000852,Patio,154.000000,,1996.000000,1996.000000,
62716,R000906,Fireplace,1.000000,R4,1996.000000,1996.000000,
62717,R000916,Fireplace,1.000000,R4,1996.000000,1996.000000,
62717,R000916,Open Porch,34.000000,R4,1996.000000,1996.000000,
62718,R000919,Fireplace,1.000000,R4,1996.000000,1996.000000,
62720,R000940,Garage,400.000000,R4,1996.000000,2009.000000,
62729,R001014,Garage,725.000000,R4,,,
62729,R001014,Open Porch,100.000000,R4,2004.000000,2004.000000,
62730,R001022,Fireplace,1.000000,R4,1994.000000,2008.000000,
62731,R001024,Main Area,1333.000000,R4,1994.000000,1999.000000,
62731,R001024,Open Porch,36.000000,R4,1994.000000,1999.000000,
62732,R001025,Fireplace,1.000000,R4,1994.000000,1994.000000,
62732,R001025,Garage,420.000000,R4,1994.000000,1994.000000,
62732,R001025,Open Porch,26.000000,R4,1994.000000,1994.000000,
62733,R001031,Garage,462.000000,R4,1996.000000,1996.000000,
